GENDER,Family_Members
M,2
M,3
M,3
M,3
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,3
M,3
M,2
M,2
M,3
M,3
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,4
M,3
M,3
M,3
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,4
M,4
M,3
M,3
M,3
M,2
M,2
M,3
M,3
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,2
M,2
M,3
M,2
M,4
M,2
M,4
M,2
M,2
M,2
M,3
M,2
M,2
M,3
M,4
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,3
M,4
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,3
M,4
M,3
M,3
M,2
M,2
M,3
M,2
M,2
M,3
M,2
M,3
M,2
M,2
M,2
M,3
M,4
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,3
M,2
M,3
M,4
M,2
M,5
M,2
M,3
M,2
M,3
M,3
M,2
M,2
M,2
M,2
M,2
M,3
M,4
M,3
M,2
M,2
M,2
M,2
M,2
M,3
M,4
M,3
M,2
M,4
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,4
M,2
M,3
M,3
M,2
M,4
M,15
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,4
M,3
M,3
M,4
M,2
M,2
M,3
M,3
M,3
M,2
M,3
M,4
M,3
M,4
M,4
M,3
M,2
M,2
M,3
M,3
M,2
M,2
M,3
M,4
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,2
M,2
M,5
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,3
M,5
M,2
M,4
M,2
M,2
M,3
M,2
M,2
M,4
M,2
M,3
M,4
M,2
M,2
M,4
M,2
M,2
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,4
M,4
M,2
M,2
M,4
M,5
M,2
M,2
M,2
M,2
M,4
M,3
M,4
M,2
M,2
M,2
M,3
M,2
M,2
M,4
M,4
M,3
M,2
M,3
M,2
M,4
M,2
M,3
M,4
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,3
M,3
M,2
M,4
M,2
M,2
M,3
M,2
M,2
M,3
M,2
M,2
M,3
M,3
M,4
M,2
M,2
M,3
M,2
M,4
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,3
M,2
M,3
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,3
M,2
M,2
M,2
M,4
M,4
M,3
M,3
M,4
M,2
M,2
M,3
M,4
M,2
M,3
M,3
M,4
M,3
M,3
M,2
M,2
M,2
M,2
M,4
M,3
M,2
M,4
M,5
M,3
M,2
M,4
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,3
M,3
M,3
M,3
M,3
M,2
M,4
M,3
M,2
M,2
M,3
M,3
M,2
M,3
M,3
M,3
M,4
M,2
M,2
M,4
M,2
M,2
M,3
M,4
M,2
M,2
M,2
M,2
M,4
M,2
M,3
M,2
M,2
M,2
M,5
M,3
M,2
M,3
M,3
M,2
M,2
M,2
M,2
M,3
M,2
M,3
M,3
M,2
M,2
M,3
M,2
M,2
M,2
M,2
M,2
M,2
M,3
M,2
M,2
M,3
M,3
M,3
M,2
M,4
M,2
M,2
M,3
M,4
M,2
